oid_shvil,width,shem_mikta,direction,bitzua,ms_orech,miflas,date_created,date_import,Shape_Length,geometry
11,2.0,בני אפריים מרובינא עד קקל ,חד סטרי,2004.0,276.27,,,10/08/2025 00:26:47,276.27069948425117,"[[183013.995, 669550.927], [183015.077, 669556.606], [183039.41600000003, 669594.737], [183059.157, 669625.297], [183089.717, 669672.623], [183099.723, 669688.308], [183103.50900000002, 669699.396], [183108.647, 669699.125], [183111.35100000002, 669701.83], [183115.94900000002, 669709.943], [183119.735, 669713.458], [183121.358, 669715.892], [183119.46500000003, 669721.572], [183127.848, 669731.578], [183129.47100000002, 669735.364], [183145.967, 669754.024], [183154.35100000002, 669760.244], [183159.489, 669768.627], [183160.98100000003, 669775.967]]"
12,2.0,אהרון בקר,,2013.0,187.27,,,10/08/2025 00:26:47,187.27094280692052,"[[182951.12300000002, 669954.455], [182943.322, 669954.125], [182927.50199999998, 669960.362], [182910.31199999998, 669969.793], [182901.946, 669976.182], [182901.39899999998, 669976.7631]]"
13,2.0,בני אפרים רומנו עד שטרית,,2004.0,954.15,מדרכה,,10/08/2025 00:26:47,954.1548396557325,"[[182871.8029, 668774.7438], [182872.66700000002, 668787.029], [182872.386, 668816.69], [182875.27000000002, 668842.291], [182878.15500000003, 668879.431], [182881.40000000002, 668912.604], [182886.088, 668947.22], [182887.53000000003, 668966.331], [182891.63199999998, 668971.853], [182887.16999999998, 668977.148], [182886.44799999997, 668979.672], [182888.973, 668993.375], [182890.054, 668996.259], [182893.299, 668998.783], [182892.751, 669003.842], [182892.751, 669007.361], [182900.375, 669070.31], [182904.67599999998, 669097.875], [182908.586, 669119.575], [182908.195, 669134.823], [182915.037, 669168.644], [182922.46600000001, 669188.584], [182932.827, 669231.397], [182935.75900000002, 669239.412], [182940.646, 669258.375], [182942.60100000002, 669278.12], [182951.39899999998, 669306.076], [182968.99300000002, 669359.054], [182979.9056, 669388.8295], [182981.8568, 669394.1532], [182986.223, 669398.673], [182994.1679, 669417.4593], [182995.42479999998, 669426.9588], [183000.859, 669439.989], [183007.896, 669450.545], [183017.86599999998, 669471.072], [183019.93670000002, 669475.1097]]"
14,,פארק הירקון,,2000.0,1872.57,מדרכה,,10/08/2025 00:26:47,1872.5686675689078,"[[184608.63900000002, 668074.36], [184658.26, 668070.39], [184687.37099999998, 668077.006], [184710.527, 668090.9], [184740.961, 668109.425], [184801.168, 668135.889], [184856.74300000002, 668159.707], [184911.65600000002, 668188.818], [184944.73700000002, 668213.297], [184977.81699999998, 668239.762], [185009.575, 668263.58], [185029.423, 668275.489], [185055.22499999998, 668277.474], [185075.07400000002, 668276.812], [185096.907, 668272.181], [185115.43199999997, 668268.211], [185137.265, 668266.226], [185163.06800000003, 668272.181], [185168.48700000002, 668275.737]]"
15,3.5,פארק הירקון,,2004.0,2820.53,,,10/08/2025 00:26:47,2820.525648413378,"[[182135.523, 667133.898], [182157.28999999998, 667133.898]]"
16,3.5,פארק הירקון שביל 7.10,דו סטרי,2022.0,1853.03,מדרכה,1640995200000.0,10/08/2025 00:26:47,1853.0296462916633,"[[181536.2097, 666661.5397], [181686.3049, 666741.3372], [181692.0995, 666756.9017]]"
17,3.0,פארק הירקון,דו סטרי,2000.0,175.72,,,10/08/2025 00:26:47,175.72086036539196,"[[181704.903, 666981.125], [181759.09499999997, 666971.746], [181792.44400000002, 666973.83], [181823.70899999997, 666975.914], [181853.93199999997, 666966.535], [181871.64899999998, 666949.86]]"
18,1.0,פארק הירקון מאבן גבירול עד אייזיק רמבה,,2004.0,2354.4,,,10/08/2025 00:26:47,2354.396872807585,"[[181985.70130000002, 667545.3999], [181988.09730000002, 667532.3017], [181957.2843, 667495.5977], [181927.3773, 667477.0187], [181900.18829999998, 667466.5967], [181833.84629999998, 667484.5077], [181713.26030000002, 667487.1287], [181602.28629999998, 667487.1287], [181469.46730000002, 667496.7407], [181436.76189999998, 667502.8806], [181417.28009999997, 667508.3863], [181391.7632, 667521.1977], [181384.3517, 667524.7976], [181371.5403, 667528.9269], [181354.4937, 667532.8444], [181339.14130000002, 667537.2914], [181328.55330000003, 667538.456], [181317.85960000003, 667538.2443], [181308.6481, 667538.0325], [181299.8601, 667536.6561], [181288.2134, 667534.2209], [181272.755, 667530.3033], [181254.54379999998, 667527.5505], [181236.12079999998, 667527.3387], [181224.15649999998, 667527.4446], [181218.6508, 667526.5976], [181212.40389999998, 667523.3153], [181206.3688, 667519.2919], [181200.96889999998, 667515.7979], [181195.4632, 667511.5627], [181192.39270000003, 667508.1746], [181189.21639999998, 667502.6689], [181184.45179999998, 667487.9517], [181179.05200000003, 667478.2108], [181170.05219999998, 667471.2228], [181121.3478, 667453.9644], [181109.9128, 667450.4704], [181104.72480000003, 667449.094], [181091.17219999997, 667441.4707], [181075.608, 667433.2121], [181048.9264, 667423.3654], [181027.53879999998, 667417.8596], [181016.2098, 667415.8479], [181007.6336, 667415.0009], [181003.0808, 667413.8362], [180998.95150000002, 667411.0834], [180996.83390000003, 667407.5894], [180990.2694, 667395.9427], [180984.34009999997, 667387.79], [180975.23450000002, 667378.6844], [180951.7294, 667363.0142], [180933.20049999998, 667351.5793], [180918.80089999997, 667343.5325], [180910.9659, 667340.0385], [180901.43670000002, 667336.8621], [180872.5332, 667331.0314], [180864.37900000002, 667329.8741], [180852.12680000003, 667327.7929], [180846.3796, 667326.6977], [180836.0034, 667321.4037], [180824.99200000003, 667312.9334], [180808.68660000002, 667302.8749], [180797.88689999998, 667298.1103], [180790.05190000002, 667295.1457], [180773.2171, 667290.2752], [180749.07659999997, 667282.2284], [180722.18329999998, 667270.6876], [180716.25410000002, 667268.1465], [180707.8896, 667264.6525], [180701.32510000002, 667264.1231], [180659.7146, 667257.2409], [180643.1974, 667261.1585], [180634.97830000002, 667270.4237], [180597.7905, 667256.4113], [180578.0573, 667252.0633], [180455.84730000002, 667210.1307], [180389.4373, 667192.6547], [180307.2993, 667179.5477], [180242.6373, 667169.9357], [180197.19929999998, 667168.1887], [180141.27529999998, 667155.9547], [180020.68930000003, 667133.2357], [179951.6583, 667128.8667], [179845.05330000003, 667131.4877], [179802.2363, 667133.2357], [179787.7769, 667131.4323]]"
19,2.0,פארק הירקון,חד סטרי,2004.0,1715.47,,,10/08/2025 00:26:47,1715.47397640198,"[[182496.15500000003, 667570.156], [182433.96500000003, 667707.257], [182329.19, 667860.716]]"
20,2.7,רוקח מנמיר עד איילון צפון,דו סטרי,2013.0,967.55,,,10/08/2025 00:26:47,967.5483209773424,"[[180762.5894, 667466.6833], [180828.658, 667483.6769]]"
21,2.5,רוקח מאבן גבירול עד נמיר כולל כניסה לפארק עד אבן גבירול,,2013.0,1033.26,,,10/08/2025 00:26:47,1033.2581909605703,"[[180635.36229999998, 667269.9465], [180641.354, 667299.5], [180637.44, 667339.627], [180637.929, 667369.477], [180634.50300000003, 667391.987], [180626.674, 667423.305]]"
22,3.0,פארק הירקון משד' רוקח עד אבן גבירול,,2004.0,859.83,,,10/08/2025 00:26:47,859.833806000621,"[[179751.08399999997, 667028.13], [179727.02500000002, 667028.13], [179702.96600000001, 667044.169], [179689.75699999998, 667042.317], [179631.45799999998, 667034.145], [179556.608, 667029.466], [179491.783, 667011.422], [179465.62900000002, 667003.195], [179395.42099999997, 666992.393], [179361.816, 666988.793], [179332.413, 666988.793], [179280.206, 667004.395], [179250.202, 667022.997], [179201.59600000002, 667057.202], [179172.79200000002, 667087.805], [179146.38900000002, 667128.611], [179126.45770000003, 667171.3384]]"
23,2.0,"נמל ת""א מחבקוק עד שער ציון",דו סטרי,2012.0,258.55,,,10/08/2025 00:26:47,258.5468085013009,"[[178665.1188, 666771.7093], [178680.24800000002, 666823.1466], [178685.70549999998, 666842.3395], [178699.12209999998, 666887.0575], [178714.35989999998, 666936.5049], [178739.25679999997, 667019.3942]]"
24,2.0,חבקוק,דו סטרי,2004.0,141.0,,,10/08/2025 00:26:47,140.9962657451876,"[[178759.46759999997, 666740.0441], [178625.79869999998, 666784.9058]]"
25,2.4,טיילת 2397 מחבקוק  עד ככר אתרים,,2000.0,740.63,,,10/08/2025 00:26:47,740.6253445925532,"[[178581.19919999997, 666762.613], [178564.90110000002, 666707.4833], [178542.64409999998, 666602.2578], [178485.27169999998, 666513.1169], [178473.1815, 666483.7566], [178463.95390000002, 666457.7934], [178455.61330000003, 666424.4173], [178447.2315, 666384.9786], [178439.8371, 666331.6208], [178418.0806, 666264.0501], [178413.1138, 666223.9433], [178404.98959999997, 666187.0634], [178395.4157, 666146.0067], [178391.3834, 666055.7399]]"
26,2.0,הרברט סמואל מבריכת גורדון עד גולדמן,דו סטרי,2000.0,3022.24,,,10/08/2025 00:26:47,3022.241175858019,"[[177423.91499999998, 662962.981], [177422.25900000002, 662969.7385], [177420.2049, 662972.1461], [177419.44290000002, 662975.8292], [177418.71999999997, 662983.6462], [177440.777, 663029.397], [177467.15399999998, 663080.212], [177483.83399999997, 663097.279], [177501.289, 663115.511], [177503.61700000003, 663125.596], [177498.962, 663144.991], [177499.738, 663153.137], [177528.054, 663241.579], [177531.54499999998, 663265.628], [177546.673, 663287.351], [177552.104, 663295.885], [177559.474, 663315.668], [177633.09000000003, 663523.73], [177679.762, 663654.064], [177723.45500000002, 663779.682], [177732.88900000002, 663814.686], [177743.06800000003, 663869.303], [177754.239, 663911.01], [177761.18959999998, 663936.5767], [177774.0672, 663971.6279], [177775.8233, 663984.9426], [177779.6431, 664003.9296], [177796.31829999998, 664061.2833], [177826.7842, 664156.3249], [177840.2171, 664198.4828], [177868.0488, 664286.7826], [177891.8993, 664361.5904], [177911.94770000002, 664424.0002], [177944.64150000003, 664530.3664], [177955.039, 664569.5086], [177974.9508, 664632.6753], [178034.3322, 664777.7272], [178045.08760000003, 664811.6954], [178063.4497, 664889.6065], [178064.1534, 664897.0656], [178083.94170000002, 664959.7741], [178129.11940000003, 665062.1019], [178136.52769999998, 665086.576], [178143.7376, 665119.8474], [178153.5934, 665183.6121], [178159.6788, 665216.222], [178167.6163, 665244.9294], [178179.45649999997, 665277.0102], [178189.8077, 665310.6433], [178198.4243, 665335.7093], [178208.11109999998, 665365.9489], [178211.64399999997, 665381.4851], [178212.33490000002, 665388.8814], [178212.3809, 665394.6604], [178209.75449999998, 665407.6207], [178209.31, 665415.1772], [178204.103, 665426.1627], [178203.0304, 665433.7443], [178208.6607, 665453.9628], [178215.782, 665474.8354], [178224.74810000003, 665495.3666], [178233.7623, 665515.4003], [178238.71769999998, 665527.5418], [178245.05180000002, 665540.8765], [178249.98930000002, 665549.1847], [178252.9817, 665556.5335], [178258.19790000003, 665577.2857], [178263.82909999997, 665595.5762], [178270.2842, 665614.0173], [178273.4536, 665623.0719], [178281.5199, 665638.8999], [178324.3703, 665763.0326], [178324.94780000002, 665773.6468], [178322.54869999998, 665781.1176], [178318.1547, 665789.5364], [178316.92839999998, 665792.7421], [178315.2242, 665804.0605], [178316.951, 665815.2472]]"
27,2.5,נורדאו מאבן גבירול עד הירקון,דו סטרי,2012.0,881.43,,,10/08/2025 00:26:47,881.4346722347174,"[[179048.79700000002, 666645.526], [179048.71600000001, 666645.417]]"
28,1.5,פנקס מאבן גבירול עד גילוץ גדה דרומית,חד סטרי,2000.0,844.5,,,10/08/2025 00:26:47,844.5003825840914,"[[180079.9623, 666468.3408], [180159.61599999998, 666469.0322], [180242.6814, 666472.1773], [180306.1815, 666474.4262], [180353.01289999997, 666475.4846], [180368.4925, 666475.0678], [180456.98109999998, 666481.5303], [180496.1924, 666484.2291], [180502.30430000002, 666482.2447], [180505.08250000002, 666480.2603], [180509.6068, 666483.3559], [180521.51309999998, 666483.9116], [180529.92690000002, 666484.3085], [180538.3406, 666484.7847], [180558.1051, 666486.1341], [180598.0308, 666488.9916], [180639.70270000002, 666491.6903]]"
29,1.0,פנקס מאבן גבירול עד גילוץ גדה צפונית,,2000.0,957.44,,,10/08/2025 00:26:47,957.4387741014193,"[[179864.1409, 666463.1601], [179863.83889999997, 666486.7185]]"
30,1.6,נמיר מהרב גורן עד דורי שביל 7,,2021.0,914.42,כביש,1630454400000.0,10/08/2025 00:26:47,914.4245260541298,"[[180782.50300000003, 665525.399], [180778.887, 665534.768], [180786.674, 665567.472], [180793.526, 665572.145], [180795.19199999998, 665577.9649], [180811.5, 665665.323], [180823.233, 665731.928], [180830.135, 665768.164], [180828.037, 665780.712], [180832.91499999998, 665808.951], [180840.39399999997, 665851.686], [180842.798, 665858.23], [180846.00300000003, 665862.904], [180849.609, 665866.777]]"
31,2.0,ויצמן משאול המלך עד דפנה גדה מזרחית,,2000.0,125.8,,,10/08/2025 00:26:47,125.79840383799831,"[[180227.77870000002, 664954.056], [180222.727, 664956.478], [180214.13900000002, 664978.807], [180213.89299999998, 664988.622], [180206.04100000003, 665009.725], [180200.398, 665020.031], [180196.22600000002, 665040.152], [180194.61099999998, 665071.75]]"
32,1.5,דוד המלך מאבן גבירול עד ויצמן,דו סטרי,2000.0,565.2,,,10/08/2025 00:26:47,565.2031867220574,"[[180138.102, 665234.605], [180134.04599999997, 665237.241], [180029.602, 665246.773]]"
33,1.2,בלוך מבארי עד אבן גבירול גדה צפונית,חד סטרי,2012.0,367.67,,,10/08/2025 00:26:47,367.66981083277733,"[[179608.17099999997, 665443.148], [179635.592, 665455.289], [179649.071, 665463.422], [179667.662, 665476.204], [179681.60600000003, 665488.056], [179765.96399999998, 665565.442], [179774.9548, 665574.5411]]"
34,2.0,שד' בן גוריון ממלכי ישראל עד הירקון,,2004.0,1011.91,,,10/08/2025 00:26:47,1011.9119637602957,"[[179380.196, 665425.481], [179366.724, 665425.051], [179365.76400000002, 665439.39], [179356.369, 665442.802], [179341.67200000002, 665448.139], [179325.19799999997, 665458.841], [179301.83899999998, 665474.018], [179293.515, 665480.417], [179269.408, 665498.951], [179230.102, 665529.17], [179204.50209999998, 665549.7444], [179191.40600000002, 665559.647], [179090.017, 665625.963], [179038.61700000003, 665658.416], [179029.34499999997, 665664.06], [178984.799, 665693.489], [178960.61, 665708.405], [178923.522, 665728.562], [178880.789, 665747.711], [178855.19, 665757.386], [178842.66999999998, 665761.922]]"
35,2.0,שד' חן ,דו סטרי,2000.0,615.48,,,10/08/2025 00:26:47,615.4798844477328,"[[179382.2953, 665196.0047], [179383.311, 665016.218], [179384.88900000002, 665006.75], [179385.41499999998, 664872.082], [179385.41499999998, 664863.665], [179386.99300000002, 664801.066], [179385.41499999998, 664788.441], [179385.039, 664784.288], [179369.108, 664608.533], [179366.364, 664609.421], [179359.63900000002, 664602.695], [179356.02500000002, 664588.526]]"
36,2.0,מלכי ישראל מאבן גבירול עד שד' חן,דו סטרי,2012.0,88.41,,,10/08/2025 00:26:47,88.40968446952544,"[[179487.408, 665200.775], [179399.02000000002, 665202.733]]"
37,2.0,קפלן מבגין עד אבן גיברול,דו סטרי,2000.0,737.65,,,10/08/2025 00:26:47,737.6517058781334,"[[179567.485, 664528.237], [179571.576, 664530.926], [179709.424, 664527.073], [179712.625, 664529.967], [179820.614, 664528.462], [179838.99099999998, 664528.462], [179883.158, 664522.44], [179938.3062, 664519.3126], [179967.01400000002, 664518.116], [179982.91999999998, 664516.571], [180010.25400000002, 664514.409], [180100.59600000002, 664513.483], [180139.51299999998, 664512.865], [180147.697, 664510.394], [180289.233, 664509.287], [180301.587, 664505.718]]"
38,2.0,מרמורק מזרח מאבן גבירול עד הוברמן (מחודש),,2021.0,200.08,כביש,1619654400000.0,10/08/2025 00:26:47,200.0765735600593,"[[179576.8615, 664287.318], [179582.60009999998, 664279.9087]]"
39,2.5,קבוץ גלויות משלבים עד אמץ,דו סטרי,2013.0,262.68,,,10/08/2025 00:26:47,262.67584927734515,"[[177770.50410000002, 662392.9247], [177776.23940000002, 662389.8202], [177779.9752, 662387.5577], [177792.55070000002, 662378.4549], [177809.1252, 662365.4584], [177814.85499999998, 662358.6109], [177829.8038, 662347.4633], [177854.00770000002, 662328.6263], [177903.94150000002, 662290.8998], [177934.09120000002, 662270.4843], [177966.3272, 662251.2683], [177979.724, 662235.844]]"
40,2.0,קבוץ גלויות מישראל גורי עד אסירי ציון,דו סטרי,2012.0,463.64,,,10/08/2025 00:26:47,463.64371852450216,"[[179020.7318, 661755.6419], [179131.222, 661714.1287], [179178.45020000002, 661697.6186], [179219.7253, 661683.8867], [179270.92229999998, 661668.488], [179312.03860000003, 661659.1217], [179375.72360000003, 661646.1437], [179432.34000000003, 661632.952], [179458.901, 661626.311], [179461.315, 661620.879]]"
41,1.5,אזר מישראל גורי עד אופטושן,חד סטרי,2004.0,122.16,,,10/08/2025 00:26:47,122.15854891081268,"[[179474.58980000002, 661011.8185], [179379.27380000002, 661088.2225]]"
42,2.5,שביל 3383 עד בן צבי,,2000.0,262.53,,,10/08/2025 00:26:47,262.5344120120155,"[[178620.19540000003, 661155.3792], [178624.0941, 661177.2757], [178633.2658, 661190.67], [178644.10139999999, 661201.3313], [178646.27490000002, 661210.313], [178647.85210000002, 661219.9701], [178649.10009999998, 661222.8248], [178655.21990000003, 661232.303], [178675.62689999997, 661257.4686], [178681.40730000002, 661265.939], [178699.63919999998, 661292.6553], [178723.99449999997, 661334.8946], [178723.65139999997, 661350.303], [178722.14429999999, 661356.6541], [178717.1665, 661365.4907], [178704.96380000003, 661380.8238]]"
43,2.0,הלר חיים משד ירושלים עד באר שבע,דו סטרי,2000.0,372.68,,,10/08/2025 00:26:47,372.67680541748643,"[[177386.1129, 660430.0274], [177381.27000000002, 660432.8524], [177378.71409999998, 660434.6012], [177372.526, 660436.8881], [177367.2796, 660438.0988], [177355.1725, 660438.7714]]"
44,2.0,משעול 3956 מהספינה עד קדם,דו סטרי,2000.0,912.77,,,10/08/2025 00:26:47,912.768392913081,"[[176267.87439999997, 661739.671], [176312.202, 661716.9036], [176318.6396, 661704.6318], [176303.794, 661676.059], [176302.05430000002, 661671.7887], [176290.25900000002, 661642.837], [176261.95899999997, 661567.78], [176255.19199999998, 661544.402], [176241.657, 661494.569], [176218.27899999998, 661349.377], [176209.05, 661271.244], [176186.287, 661185.113], [176181.97999999998, 661150.045], [176180.135, 661085.447], [176178.289, 661066.99], [176171.522, 661046.688], [176172.75199999998, 661031.923], [176186.902, 661012.236], [176191.20899999997, 661000.546], [176191.82400000002, 660978.398], [176187.51799999998, 660938.409], [176186.15899999999, 660920.01], [176187.081, 660915.399], [176190.58500000002, 660910.051], [176211.425, 660893.453]]"
45,2.0,חבר הלאומים מעזה עד היינריך היינה,דו סטרי,2016.0,312.73,,,10/08/2025 00:26:47,312.72856899255936,"[[177426.55599999998, 661584.107], [177433.46999999997, 661581.539], [177479.50199999998, 661568.698], [177603.96500000003, 661534.322], [177727.80200000003, 661500.243]]"
46,2.0,הטייסים גד דרומית,דו סטרי,2004.0,1367.63,,,10/08/2025 00:26:47,1367.6267421350992,"[[182557.75900000002, 661920.16], [182556.642, 661947.747], [182556.32400000002, 661960.004], [182557.271, 661970.345], [182553.25400000002, 662007.495], [182547.565, 662031.927], [182533.843, 662070.416], [182515.435, 662110.913], [182488.65999999997, 662161.786], [182463.224, 662205.295], [182435.11, 662248.47], [182398.294, 662298.673], [182364.49099999998, 662338.501], [182312.94900000002, 662392.72], [182254.044, 662446.27], [182242.66499999998, 662454.302]]"
47,1.6,משה דיין גדה מערבית ,,2014.0,1277.92,כביש,,10/08/2025 00:26:47,1277.9247040113876,"[[181205.766, 661945.425], [181204.73700000002, 661919.178], [181191.527, 661835.291], [181176.603, 661746.6], [181162.021, 661658.767], [181155.50199999998, 661610.733]]"
48,2.5,גבעתי מנגבה עד קרייתי,דו סטרי,2014.0,419.44,,,10/08/2025 00:26:47,419.4391808723299,"[[180878.87170000002, 662013.0341], [180874.2771, 662015.1602], [180882.1088, 662041.6186], [180887.61210000003, 662130.9421], [180888.353, 662157.083], [180893.7584, 662250.5336], [180898.54470000003, 662276.5902], [180902.5823, 662323.1226], [180903.00559999997, 662346.8293], [180910.414, 662351.2743], [180916.12900000002, 662423.0295]]"
49,2.5,שד' החייל מהגבור האלמוני עד מעפילים,דו סטרי,2004.0,896.69,,,10/08/2025 00:26:47,896.6936362001411,"[[181196.16100000002, 662643.689], [181107.62, 662646.379], [181106.397, 662650.782], [181080.22600000002, 662651.515], [181076.06800000003, 662649.069], [180948.63799999998, 662653.472], [180825.854, 662657.63], [180776.44799999997, 662662.033], [180773.023, 662659.098], [180758.837, 662659.342]]"
50,2.5,יד לבנים ממשה דיין עד יגאל אלון,דו סטרי,2000.0,707.92,,,10/08/2025 00:26:47,707.9243815741027,"[[180781.827, 663141.658], [180878.374, 663137.887], [180980.658, 663134.773], [181051.46999999997, 663135.265], [181060.157, 663132.97], [181066.71399999998, 663135.92], [181085.564, 663136.74], [181120.479, 663137.887], [181126.707, 663135.757], [181132.936, 663139.527], [181179.80099999998, 663143.553], [181199.809, 663150.765], [181266.90980000002, 663162.9188]]"
51,1.6,יצחק שדה ממשה דיין עד נירים גדה דרומית,חד סטרי,2013.0,724.37,,,10/08/2025 00:26:47,724.3702705768555,"[[180551.56300000002, 663501.591], [180629.32, 663487.953], [180679.26799999998, 663479.451], [180757.35100000002, 663470.446], [180760.67200000002, 663472.66], [180765.37699999998, 663472.106], [180768.69799999997, 663469.339], [180821.83399999997, 663466.571], [180851.16999999998, 663465.741], [180915.37699999998, 663467.125], [180942.77500000002, 663468.232], [180957.16600000003, 663469.615], [180965.46899999998, 663471.276], [180982.35100000002, 663471.829], [181016.668, 663475.427], [181078.10700000002, 663484.007], [181117.12900000002, 663491.479], [181161.40999999997, 663497.567], [181165.419, 663496.604]]"
52,1.6,יצחק שדה ממשה דיין עד יגאל אלון גדה דרומית,חד סטרי,2013.0,617.02,,,10/08/2025 00:26:47,617.0156370233381,"[[181161.17599999998, 663525.41], [181158.814, 663523.473], [181134.011, 663518.047], [181094.989, 663510.298], [181067.037, 663505.317], [181044.343, 663501.442], [181014.45400000003, 663497.567], [180967.40600000002, 663492.586], [180958.538, 663491.933], [180922.29499999998, 663489.265], [180849.50900000002, 663488.158], [180804.67599999998, 663489.265], [180754.86, 663493.139], [180714.178, 663497.291], [180683.18099999998, 663501.442], [180640.25, 663508.672], [180623.99099999998, 663511.786], [180611.537, 663516.975], [180552.03499999997, 663531.85]]"
53,2.5,בת ציון מעמינדב עד קלמר,דו סטרי,2013.0,228.6,,,10/08/2025 00:26:47,228.6009473343443,"[[180972.9214, 663334.1652], [180968.7046, 663385.3006], [180968.40749999997, 663396.5974], [180958.538, 663491.933], [180951.61800000002, 663561.737]]"
54,1.5,ברנדיס,חד סטרי,2013.0,502.91,,,10/08/2025 00:26:47,502.9098112100757,"[[180071.316, 666990.868], [180070.57, 666945.883], [180069.374, 666920.417], [180068.349, 666918.637], [180068.722, 666906.241], [180065.36599999998, 666834.104], [180062.664, 666798.632], [180062.477, 666784.092], [180059.956, 666699.931], [180057.304, 666659.817], [180056.47600000002, 666647.059], [180053.0245, 666527.0612], [180053.1444, 666521.0272], [180053.72389999998, 666509.234], [180055.75089999998, 666505.2212], [180054.70880000002, 666489.188]]"
55,2.0,לאונרדו דה וינצ'י מקפלן עד הארבעה,דו סטרי,2013.0,316.61,,,10/08/2025 00:26:47,316.6084792720538,"[[179827.96600000001, 664527.087], [179826.31300000002, 664338.24], [179825.749, 664210.487]]"
