oid_shvil,width,shem_mikta,direction,bitzua,ms_orech,miflas,date_created,date_import,Shape_Length,geometry
11,2.0,בני אפריים מרובינא עד קקל ,חד סטרי,2004.0,276.27,,,20/08/2025 01:08:49,276.2706994842512,"[[34.818284027877674, 32.118739634107605], [34.81829527724735, 32.11879088070118], [34.81855172890791, 32.11913552150422], [34.81875974837033, 32.11941174025474], [34.819081774110316, 32.1198394986509], [34.81918720572425, 32.119981264175244], [34.81922690310915, 32.12008137468788], [34.81928135686785, 32.12007909648206], [34.819309906680814, 32.12010357655367], [34.81935832104991, 32.12017688547523], [34.81939830539933, 32.12020870474255], [34.81941541098491, 32.120230706160484], [34.819395137231744, 32.120281865820665], [34.819483587013536, 32.1203723671759], [34.8195006414798, 32.12040656053891], [34.81967473181111, 32.12057536239095], [34.819763335941985, 32.120631722497464], [34.819817462749626, 32.12070748340775], [34.81983299488773, 32.120773721484156]]"
12,2.0,אהרון בקר,,2013.0,187.27,,,20/08/2025 01:08:49,187.2709428069205,"[[34.81760248305791, 32.122376502393415], [34.817519832269525, 32.12237327400242], [34.81735195816127, 32.122429005173494], [34.817169444993866, 32.12251349430271], [34.817080551147654, 32.12257083733412], [34.81707473271316, 32.122576059797126]]"
13,2.0,בני אפרים רומנו עד שטרית,,2004.0,954.15,מדרכה,,20/08/2025 01:08:49,954.1548396557324,"[[34.816806925734944, 32.1117356251068], [34.81681561305981, 32.11184643772994], [34.816811505712195, 32.112113903467375], [34.816841087291166, 32.112344859845685], [34.81687024003244, 32.11267987180317], [34.81690335843744, 32.112979122085015], [34.816951711327725, 32.1132914317033], [34.81696626210471, 32.11346381622383], [34.81700951445473, 32.11351374507045], [34.816962035745576, 32.11356134930312], [34.81695428967012, 32.11358408664056], [34.8169805213961, 32.113707738394446], [34.81699186530008, 32.113733780556544], [34.81702615160293, 32.11375664647439], [34.81702015260807, 32.11380224939069], [34.817020018598065, 32.113833982769336], [34.817098402081186, 32.11440188667323], [34.81714292426805, 32.11465059963868], [34.817183527058354, 32.1148464109563], [34.81717880370659, 32.11498390055702], [34.817250011888895, 32.11528911067292], [34.817327968452844, 32.115469164720416], [34.817436121821046, 32.11585557605214], [34.81746688366898, 32.115927948036784], [34.81751794387386, 32.11609910933896], [34.817537907636016, 32.116277227572304], [34.817630066451706, 32.11652961179855], [34.8178144759095, 32.117007921968955], [34.817928973186966, 32.11727678210624], [34.817949445663565, 32.11732485285069], [34.81799553786964, 32.11736575233054], [34.81807900789436, 32.117535418816296], [34.81809196513069, 32.11762112329624], [34.818149050840105, 32.1177388016628], [34.818223213882895, 32.11783422014936], [34.818328076634636, 32.118019649050524], [34.818349864519, 32.11805612679802]]"
14,,פארק הירקון,,2000.0,1872.57,מדרכה,,20/08/2025 01:08:49,1872.568667568908,"[[34.83523462205492, 32.105474720639585], [34.835760479324506, 32.10544045134222], [34.836068658436005, 32.10550101011731], [34.83631348392613, 32.105627016051315], [34.83663525028253, 32.10579500666893], [34.83727216542356, 32.106035503175406], [34.8378601047291, 32.106251993492826], [34.838440842777395, 32.10651619182692], [34.83879044646983, 32.10673794976274], [34.839139969968905, 32.106977615977065], [34.839475583931, 32.10719337086766], [34.83968544223314, 32.10730136907882], [34.839958737953104, 32.107320056232965], [34.840169057721674, 32.10731469142406], [34.84040053952744, 32.10727359519027], [34.84059694994803, 32.10723835860405], [34.840828336829894, 32.10722112257874], [34.841101501413284, 32.107275607806585], [34.84115878763373, 32.107307839637116]]"
15,3.5,פארק הירקון,,2004.0,2820.53,,,20/08/2025 01:08:49,2820.525648413378,"[[34.80906959235754, 32.09691480317836], [34.80930018226966, 32.09691552260173]]"
16,3.5,פארק הירקון שביל 7.10,דו סטרי,2022.0,1853.03,מדרכה,1640995200000.0,20/08/2025 01:08:49,1853.0296462916635,"[[34.80273937527133, 32.092635227019585], [34.8043262059771, 32.093359851439565], [34.80438697740685, 32.09350040191684]]"
17,3.0,פארק הירקון,דו סטרי,2000.0,175.72,,,20/08/2025 01:08:49,175.72086036539196,"[[34.80451379904794, 32.09552281757325], [34.805088243882736, 32.095440051099295], [34.80544144082909, 32.09545995717758], [34.80577256132523, 32.09547979280372], [34.80609309219049, 32.0953962224982], [34.806281427182384, 32.095246441651]]"
18,1.0,פארק הירקון מאבן גבירול עד אייזיק רמבה,,2004.0,2354.4,,,20/08/2025 01:08:49,2354.396872807585,"[[34.807466400620015, 32.10062065608079], [34.80749229460713, 32.10050261952684], [34.807167295274006, 32.10017060930141], [34.80685118838175, 32.100002074815016], [34.806563557998636, 32.09990718764659], [34.805860036365836, 32.100066494925144], [34.80458245576126, 32.10008610457893], [34.803406806738025, 32.1000823882703], [34.8019993539129, 32.100164604484426], [34.801652632539785, 32.10021887126228], [34.80144602580227, 32.10026786377556], [34.801175193933524, 32.10038253325405], [34.80109653425984, 32.10041474620189], [34.800960647264326, 32.100451550893844], [34.800779901035924, 32.100486302523024], [34.80061708195327, 32.10052588599568], [34.80050486688155, 32.100536030423676], [34.80039158663803, 32.100533760082754], [34.80029400877406, 32.100531538835234], [34.80020096370981, 32.10051882978476], [34.80007767578803, 32.100496476030614], [34.79991406586882, 32.1004606253365], [34.799721246745506, 32.10043518511223], [34.79952608285119, 32.100432651465475], [34.79939932946053, 32.10043320124219], [34.79934103606911, 32.100425376721546], [34.79927498739346, 32.1003955661922], [34.799211212062104, 32.100359079769504], [34.79915414497004, 32.10032738882812], [34.799095986596356, 32.100289010336354], [34.79906359286538, 32.10025835329122], [34.799030162661545, 32.10020859671438], [34.79898027310893, 32.10007571949093], [34.798923456206026, 32.09998769561629], [34.79882839172207, 32.099924374507886], [34.79831311133892, 32.09976708988513], [34.798192109885015, 32.099735193526925], [34.798137203848185, 32.09972260526511], [34.797993933840516, 32.09965339987102], [34.7978293788428, 32.099578396955685], [34.79754711165641, 32.09948869454344], [34.79732075512502, 32.09943831679853], [34.7972008181009, 32.099419790080844], [34.79710999720375, 32.09941185996686], [34.79706181223931, 32.099401201930206], [34.79701817733599, 32.09937623725555], [34.79699588371356, 32.09934465717423], [34.796926806856746, 32.099239406747834], [34.79686431943449, 32.09916568586467], [34.79676822122028, 32.09908326367993], [34.79651984112383, 32.098941152557984], [34.79632400864029, 32.09883740356322], [34.796171785475224, 32.09876434820751], [34.79608892359846, 32.098732572754336], [34.79598810111463, 32.098703603410065], [34.79568213897286, 32.098650036153956], [34.79559580200014, 32.09863932118551], [34.79546608904218, 32.09862013453869], [34.79540524874343, 32.09861006175828], [34.79529553884141, 32.09856196696044], [34.79517922762683, 32.09848520733239], [34.79500689739273, 32.09839394440418], [34.794892680228514, 32.098350608742784], [34.7948097978724, 32.098323606440566], [34.7946316511535, 32.098279108821934], [34.79437623825612, 32.09820571746386], [34.794091804349435, 32.09810072321019], [34.79402909479956, 32.09807760480056], [34.79394062495198, 32.09804580977746], [34.79387110418677, 32.0980408104358], [34.793430574384494, 32.09797731928983], [34.793255438590585, 32.09801207930893], [34.79316799390154, 32.09809534767273], [34.79277460529236, 32.09796770818024], [34.79256573450686, 32.09792781964769], [34.79127278660818, 32.097545467409226], [34.79056997589762, 32.09738557733121], [34.78970037408254, 32.0972645364362], [34.78901576496575, 32.097175613733064], [34.788534486245425, 32.09715828043557], [34.78794255279312, 32.097046011348105], [34.78666605241717, 32.09683693167029], [34.78593495104911, 32.09679511961192], [34.78480552192615, 32.096815019327785], [34.784351867438495, 32.096829279038595], [34.784198766055475, 32.09681250847408]]"
19,2.0,פארק הירקון,חד סטרי,2004.0,1715.47,,,20/08/2025 01:08:49,1715.47397640198,"[[34.81287318706627, 32.10086073089002], [34.812209061960985, 32.10209503367707], [34.81109312844626, 32.103475444575736]]"
20,2.7,רוקח מנמיר עד איילון צפון,דו סטרי,2013.0,967.55,,,20/08/2025 01:08:49,967.5483209773424,"[[34.794511960395994, 32.09986954385874], [34.79521119983447, 32.10002505038368]]"
21,2.5,רוקח מאבן גבירול עד נמיר כולל כניסה לפארק עד אבן גבירול,,2013.0,1033.26,,,20/08/2025 01:08:49,1033.2581909605703,"[[34.7931720811506, 32.09809105762196], [34.79323436140889, 32.09835776892359], [34.79319127651894, 32.0987194884496], [34.793195250904176, 32.09898868424772], [34.79315804713041, 32.09919155531977], [34.79307384263616, 32.09947370299581]]"
22,3.0,פארק הירקון משד' רוקח עד אבן גבירול,,2004.0,859.83,,,20/08/2025 01:08:49,859.833806000621,"[[34.78381432774799, 32.09587966785879], [34.78355946109566, 32.0958788214038], [34.78330393095767, 32.09602260955238], [34.783164079142814, 32.096005443518976], [34.78254683230434, 32.09592969560256], [34.781754110189, 32.09588485869735], [34.78106814348871, 32.09571985006447], [34.78079142660041, 32.09564473516272], [34.780048137578866, 32.09554483659283], [34.77969229798721, 32.095511179813215], [34.779380821614005, 32.09551013514862], [34.77882712217624, 32.09564897269139], [34.77850850047799, 32.095815651909966], [34.77799216548717, 32.09612237043589], [34.7776857496881, 32.09639731183808], [34.77740433900817, 32.09676434586551], [34.77719140362136, 32.09714893707827]]"
23,2.0,"נמל ת""א מחבקוק עד שער ציון",דו סטרי,2012.0,258.55,,,20/08/2025 01:08:49,258.5468085013009,"[[34.77232115669026, 32.09352862443701], [34.77247923969234, 32.093993017332814], [34.77253623770097, 32.09416629032547], [34.772676465829115, 32.094570028443066], [34.77283578715627, 32.09501648044245], [34.77309601519982, 32.09576484975296]]"
24,2.0,חבקוק,דו סטרי,2004.0,141.0,,,20/08/2025 01:08:49,140.9962657451876,"[[34.773321945278724, 32.09324648190835], [34.77190407373683, 32.09364620522511]]"
25,2.4,טיילת 2397 מחבקוק  עד ככר אתרים,,2000.0,740.63,,,20/08/2025 01:08:49,740.6253445925532,"[[34.77143257366829, 32.09344356151583], [34.77126227176948, 32.092945828022074], [34.77103098157532, 32.09199612921331], [34.77042703913314, 32.091190202406324], [34.77030022139269, 32.09092500108377], [34.77020358239879, 32.09069053760883], [34.77011665585832, 32.09038925890899], [34.770029552100226, 32.09003330789456], [34.7699535021123, 32.08955187430314], [34.76972592770793, 32.08894175098233], [34.76967502882391, 32.08857989904213], [34.76959054777465, 32.08824703153084], [34.769490889827175, 32.08787644607065], [34.769452033571845, 32.087062299634454]]"
26,2.0,הרברט סמואל מבריכת גורדון עד גולדמן,דו סטרי,2000.0,3022.24,,,20/08/2025 01:08:49,3022.241175858019,"[[34.75933938664263, 32.05913707672905], [34.75932155599955, 32.059197952520144], [34.75929969972627, 32.05921958724773], [34.759291469980525, 32.05925277214297], [34.75928347375618, 32.059323236916846], [34.75951504200093, 32.059736625610185], [34.75979213697964, 32.0601958419656], [34.75996802161871, 32.06035036712144], [34.76015206277545, 32.06051542646206], [34.76017627514228, 32.060606456738164], [34.760126136611845, 32.060781182973464], [34.760133998886474, 32.0608546702571], [34.76042999419025, 32.061653267507715], [34.76046591444763, 32.06187026451317], [34.76062516583483, 32.0620667177668], [34.76068230574055, 32.06214387646812], [34.760759489141094, 32.06232254751762], [34.76153000529953, 32.06420152163938], [34.76201859135362, 32.06537856490294], [34.76247584668534, 32.066512968556964], [34.76257423501662, 32.06682897353976], [34.76267966347081, 32.067321870681994], [34.762796157894336, 32.06769838542194], [34.76286865784957, 32.06792919547621], [34.76300351531152, 32.06824575276453], [34.76302153602752, 32.06836588589586], [34.7630611661443, 32.068537246397234], [34.763235277135145, 32.0690550613633], [34.763553807727746, 32.06991324341576], [34.763694243872635, 32.07029390665706], [34.763985176771925, 32.07109119480812], [34.764234534180105, 32.071766668639], [34.76444416376536, 32.072330200393694], [34.7647858231723, 32.0732905831439], [34.764894252166414, 32.07364393866795], [34.76510241060323, 32.074214289738336], [34.76572506592851, 32.075524506235304], [34.765837514361536, 32.0758312163119], [34.766028635903865, 32.07653446984425], [34.76603576791496, 32.07660175971169], [34.76624265163251, 32.07716797232099], [34.766716741905356, 32.078092389431625], [34.76679415422156, 32.07831336100613], [34.76686908770201, 32.078613656855964], [34.76697073599671, 32.07918902940242], [34.767033789011, 32.079483318787695], [34.767116626512895, 32.07974248418629], [34.76724065532163, 32.08003221251149], [34.76734884742628, 32.08033588451514], [34.76743903554432, 32.08056223737697], [34.76754033737077, 32.08083528331264], [34.76757709027814, 32.080975513373374], [34.7675840908498, 32.08104223633969], [34.76758433022122, 32.08109435140412], [34.76755595638028, 32.081211127812075], [34.767550924270985, 32.08127925395435], [34.76749530207698, 32.08137812791938], [34.767483616179675, 32.0814464574618], [34.7675423834945, 32.08162898777289], [34.767616915296486, 32.081817470981875], [34.767711001752154, 32.08200294284095], [34.76780561937624, 32.08218393007017], [34.767857585567675, 32.08229359950601], [34.76792410369535, 32.08241407916301], [34.76797604482325, 32.0824891802883], [34.76800742494868, 32.08255555884032], [34.768061785034156, 32.082742886541844], [34.7681206464233, 32.082908030443825], [34.76818822823915, 32.08307456242813], [34.7682214104254, 32.08315632979592], [34.76830617021554, 32.08329935627288], [34.76875472864216, 32.08442031081578], [34.76876039150843, 32.08451604766009], [34.76873466047201, 32.084583329815274], [34.76868775868605, 32.08465908809267], [34.76867463245088, 32.084687951505614], [34.76865609711897, 32.08478995550614], [34.768673908920064, 32.08489089685495]]"
27,2.5,נורדאו מאבן גבירול עד הירקון,דו סטרי,2012.0,881.43,,,20/08/2025 01:08:49,881.4346722347174,"[[34.77639081032224, 32.092404537324825], [34.77638995687246, 32.09240355149538]]"
28,1.5,פנקס מאבן גבירול עד גילוץ גדה דרומית,חד סטרי,2000.0,844.5,,,20/08/2025 01:08:49,844.5003825840914,"[[34.78732120338713, 32.09084316358303], [34.788164932928524, 32.090852173446834], [34.78904470215817, 32.09088342298368], [34.78971725652282, 32.090905906501256], [34.79021329082718, 32.0909170736979], [34.79037728067333, 32.09091385109048], [34.791314363931946, 32.090975188022576], [34.79172961382647, 32.09100087874856], [34.79179443668424, 32.090983194839175], [34.79182394614753, 32.09096539589766], [34.79187174593144, 32.09099346725291], [34.79199784506191, 32.09099888903117], [34.792086955109, 32.09100275826862], [34.79217606089431, 32.091007342546085], [34.792385368694724, 32.0910201921407], [34.792808180253566, 32.091047335060416], [34.79324949574384, 32.0910731045876]]"
29,1.0,פנקס מאבן גבירול עד גילוץ גדה צפונית,,2000.0,957.44,,,20/08/2025 01:08:49,957.4387741014192,"[[34.78503525876362, 32.090788898351235], [34.78503108936442, 32.09100133089433]]"
30,1.6,נמיר מהרב גורן עד דורי שביל 7,,2021.0,914.42,כביש,1630454400000.0,20/08/2025 01:08:49,914.4245260541298,"[[34.79480102932721, 32.082364240671644], [34.79476235234087, 32.082448604120614], [34.794843516079325, 32.08274378712484], [34.79491590390335, 32.082786161623986], [34.794933316031674, 32.08283870103242], [34.79510253813885, 32.08362703226527], [34.795224138074204, 32.08422806056135], [34.7952957889059, 32.08455506361696], [34.79527306255163, 32.08466814651285], [34.795323596586094, 32.08492296541036], [34.79540109896366, 32.08530859442351], [34.795426299798585, 32.085367688731424], [34.795460060120874, 32.08540994723941], [34.79549810011507, 32.08544499623442]]"
31,2.0,ויצמן משאול המלך עד דפנה גדה מזרחית,,2000.0,125.8,,,20/08/2025 01:08:49,125.79840383799832,"[[34.78894877570738, 32.07719288586095], [34.78889517308251, 32.07721455141612], [34.78880330440143, 32.077415610404245], [34.7888002985098, 32.07750411104376], [34.78871627456015, 32.07769413976481], [34.788656087173706, 32.077786880580994], [34.7886110788879, 32.07796818166542], [34.78859268404467, 32.07825306826392]]"
32,1.5,דוד המלך מאבן גבירול עד ויצמן,דו סטרי,2000.0,565.2,,,20/08/2025 01:08:49,565.2031867220574,"[[34.78798751848228, 32.07971968751658], [34.78794445140647, 32.07974331710065], [34.78683783730272, 32.079825633597814]]"
33,1.2,בלוך מבארי עד אבן גבירול גדה צפונית,חד סטרי,2012.0,367.67,,,20/08/2025 01:08:49,367.6698108327773,"[[34.78236609291867, 32.08158170325771], [34.78265602657771, 32.081692154613776], [34.78279845629997, 32.08176597096164], [34.78299483908288, 32.08188189068499], [34.78314204073664, 32.08198925998149], [34.784032349700496, 32.0826900738426], [34.78412720370107, 32.08277244301247]]"
34,2.0,שד' בן גוריון ממלכי ישראל עד הירקון,,2004.0,1011.91,,,20/08/2025 01:08:49,1011.9119637602956,"[[34.77995217532639, 32.081414321286076], [34.77980950149543, 32.08140996558747], [34.77979873566405, 32.081539236753855], [34.77969908397238, 32.081569671749456], [34.779543194464, 32.081617277508826], [34.77936825935735, 32.08171320006046], [34.779120212677114, 32.08184923196071], [34.77903177947506, 32.08190664045634], [34.77877566882375, 32.082072917586615], [34.77835808336155, 32.08234402513215], [34.77808607229398, 32.082528647436156], [34.77794694567451, 32.082617479588365], [34.77687026344391, 32.083211880044296], [34.77632447412813, 32.08350269403315], [34.77622602815175, 32.08355325821988], [34.77575295965018, 32.08381704541679], [34.77549612159962, 32.08395068671323], [34.775102435291544, 32.08413112650392], [34.774648997834355, 32.084302272398006], [34.774377443326905, 32.0843885988617], [34.77424463910196, 32.084429053081664]]"
35,2.0,שד' חן ,דו סטרי,2000.0,615.48,,,20/08/2025 01:08:49,615.4798844477328,"[[34.77998397262832, 32.07934503990144], [34.78000222109049, 32.077723807106196], [34.78001932861104, 32.07763848315381], [34.78003050976496, 32.07642410117362], [34.78003086039751, 32.07634819887153], [34.78005018080644, 32.075783753419685], [34.78003399399489, 32.0756698484958], [34.780030184753784, 32.07563238448883], [34.77986878251788, 32.074046906407155], [34.77983968414252, 32.07405481680019], [34.77976874081716, 32.073993924831505], [34.77973105601392, 32.07386602419343]]"
36,2.0,מלכי ישראל מאבן גבירול עד שד' חן,דו סטרי,2012.0,88.41,,,20/08/2025 01:08:49,88.40968446952544,"[[34.78109707452828, 32.07939178127628], [34.78016083188074, 32.07940630712077]]"
37,2.0,קפלן מבגין עד אבן גיברול,דו סטרי,2000.0,737.65,,,20/08/2025 01:08:49,737.6517058781334,"[[34.7819730988519, 32.07332983866773], [34.78201631432879, 32.07335423180355], [34.783476394484296, 32.073324344066876], [34.78351017608047, 32.07335055402585], [34.78465392842213, 32.07334077569566], [34.78484855562063, 32.07334142020517], [34.78531656737876, 32.07328866310434], [34.785900759335696, 32.073262391172214], [34.78620484691677, 32.07325260423436], [34.786373367502335, 32.07323922761272], [34.78666294492057, 32.073220685842635], [34.787619776238856, 32.07321548578054], [34.788031963401764, 32.073211267683746], [34.788118739415005, 32.073189269569134], [34.78961776281844, 32.073184202080235], [34.78974874671924, 32.07315244589591]]"
38,2.0,מרמורק מזרח מאבן גבירול עד הוברמן (מחודש),,2021.0,200.08,כביש,1619654400000.0,20/08/2025 01:08:49,200.0765735600593,"[[34.78208238958905, 32.07115762319657], [34.78214347156475, 32.071091010510024]]"
39,2.5,קבוץ גלויות משלבים עד אמץ,דו סטרי,2013.0,262.68,,,20/08/2025 01:08:49,262.67584927734515,"[[34.763034145328895, 32.05400928705673], [34.76309500818734, 32.05398150287963], [34.763134662783614, 32.05396123792195], [34.76326821281342, 32.05387961458745], [34.76344427450154, 32.05376302599308], [34.763505240691934, 32.05370148797195], [34.76366400809784, 32.053601512112515], [34.76392110486815, 32.053432535503546], [34.7644514558102, 32.053094163328026], [34.76477157443051, 32.05291116890758], [34.765113730686394, 32.05273906700998], [34.76525624569999, 32.0526004659342]]"
40,2.0,קבוץ גלויות מישראל גורי עד אסירי ציון,דו סטרי,2012.0,463.64,,,20/08/2025 01:08:49,463.64371852450216,"[[34.77629900958434, 32.04830781816571], [34.77747060765654, 32.04793740641742], [34.777971343927966, 32.047790204956], [34.778408932133246, 32.04766784291514], [34.77895164005434, 32.047530801095455], [34.77938736248116, 32.047447798022], [34.780062187399004, 32.04733302394035], [34.78066217870878, 32.047216069031606], [34.78094367670512, 32.047157121567174], [34.78096946113882, 32.04710822234735]]"
41,1.5,אזר מישראל גורי עד אופטושן,חד סטרי,2004.0,122.16,,,20/08/2025 01:08:49,122.15854891081268,"[[34.781135287082066, 32.04161631501579], [34.780122985040336, 32.04230193730816]]"
42,2.5,שביל 3383 עד בן צבי,,2000.0,262.53,,,20/08/2025 01:08:49,262.5344120120155,"[[34.77208361264573, 32.042880394291394], [34.77212396131678, 32.04307799276744], [34.77222049734777, 32.04319911059749], [34.77233476565417, 32.04329564280501], [34.77235739677265, 32.043376716181115], [34.77237368609011, 32.043463858646426], [34.772386778189, 32.043489646713795], [34.77245116926197, 32.04357533975337], [34.7726661603, 32.04380301338786], [34.7727270011405, 32.04387960593671], [34.77291889927321, 32.04412118460029], [34.77317497331449, 32.04450296642345], [34.773170689305964, 32.04464190355847], [34.77315446438398, 32.04469912207797], [34.77310138832135, 32.044778629277204], [34.77297154369681, 32.044916460153786]]"
43,2.0,הלר חיים משד ירושלים עד באר שבע,דו סטרי,2000.0,372.68,,,20/08/2025 01:08:49,372.6768054174864,"[[34.759049719666095, 32.03629411876347], [34.75899832697726, 32.03631941388828], [34.75897119258484, 32.03633508911888], [34.758905582376045, 32.03635548171764], [34.758849988451665, 32.03636620438811], [34.75872178715017, 32.03637181931524]]"
44,2.0,משעול 3956 מהספינה עד קדם,דו סטרי,2000.0,912.77,,,20/08/2025 01:08:49,912.768392913081,"[[34.74715279733145, 32.04806202325541], [34.74762315054091, 32.04785840464779], [34.747691860223085, 32.04774798631151], [34.74753595793333, 32.047489757908004], [34.74751772969043, 32.04745118307518], [34.74739414114174, 32.04718965405457], [34.74709787366646, 32.04651172908212], [34.747027275368694, 32.04630065388844], [34.74688620716918, 32.045850755742876], [34.74664520700782, 32.044540558311965], [34.74655100285338, 32.04383562215568], [34.746313871159614, 32.04305804432443], [34.7462698468535, 32.042741645293425], [34.746253214804156, 32.04215904639656], [34.74623449991681, 32.04199253523926], [34.746163768763054, 32.04180919805242], [34.74617745416738, 32.04167609809144], [34.746328145708404, 32.04149910702642], [34.746374269156426, 32.041393854294405], [34.74638177464196, 32.04119415275057], [34.746337982467466, 32.04083337735801], [34.74632442092301, 32.04066740783595], [34.74633438917217, 32.040625862264335], [34.74637172607516, 32.040577769360866], [34.746593103523566, 32.04042888958882]]"
45,2.0,חבר הלאומים מעזה עד היינריך היינה,דו סטרי,2016.0,312.73,,,20/08/2025 01:08:49,312.72856899255936,"[[34.759427531245905, 32.04670283827406], [34.75950084662356, 32.04667993758331], [34.759988779053096, 32.046565849922025], [34.76130804764939, 32.046260467859746], [34.762620666927894, 32.0459577271555]]"
